	BMXBMI	PROT	CARB	SUGR	FIBE	TFAT	SFAT	MFAT	PFAT	CHOL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	VB1	VB2	NIAC	VB6	FOLA	FA	FF	FDFE	CHL	VB12	B12A	VC	VD	VK	CALC	PHOS	MAGN	IRON	ZINC	COPP	SODI	POTA	SELE	CAFF	THEO	ALCO	S040	S060	S080	S100	S120	S140	S160	S180	M161	M181	M201	M221	P182	P183	P184	P204	P205	P225	P226
BMXBMI	1	0.1525351138287	0.0850198804474791	0.0724378034247339	0.0248420236937144	0.136593436016675	0.121158036822824	0.136559909435084	0.106362536194162	0.0814679109405655	0.095700334562699	-0.0366564942536353	-0.0318701970692311	-0.0533211044723256	0.0312950626487585	-0.0547617140713434	-0.0779083245284266	0.0319553199207364	-0.100109629100536	0.0743808469831347	0.116885114488551	0.051772285811438	-0.00879821968654802	-0.0528666962773035	-0.0103101518191837	-0.0769115305609462	-0.0403384238158551	0.033350218644111	-0.0398911801709503	-0.0584359923222489	-0.160381633084401	-0.0901778021687343	-0.111248377291293	0.0820024252659241	0.12454898468118	0.0182665735500552	0.00889351209788247	0.115023687648768	0.0442700465262681	0.154101908157064	0.0638230261609499	0.116432043687045	0.222344402735193	0.00991536325720045	-0.198071160748851	0.0317863947537702	0.00125250554487514	0.000127256678162994	0.0128139385450547	-0.0022648843923727	0.0409469169713308	0.128408793026538	0.160677099263858	0.098036815698632	0.136953680774745	0.0165061771723282	-0.060983813445358	0.116406492773066	0.0400825210164727	-0.0460127395899736	0.0528008655071326	-0.134102735946969	-0.0414753420072751	-0.11028157029851
PROT	0.1525351138287	1	0.547038390599848	0.379793658110875	0.432657011652948	0.727348630989774	0.653749313533822	0.708743665445026	0.595104780965843	0.660872862766998	0.60747558022465	0.179557380302623	0.292530500528376	0.333473121599106	0.170698065832915	0.207036232966048	0.110415451885028	0.221393577450247	0.110128992995322	0.617865919972403	0.68632134111217	0.783870950811919	0.672807471785606	0.396924661615619	0.206969721511476	0.419948983759789	0.347315775694081	0.766231206935019	0.599238359822005	0.138364769501404	0.255658991874672	0.420023054849402	0.186561025357621	0.567091715761548	0.871094101265497	0.645329125683262	0.492649209222938	0.74918447568408	0.582340472907559	0.783188896764732	0.731636326498131	0.878403013627527	0.0744695566319456	0.179200802317423	-0.0775133803251539	0.370929022087634	0.35727869146437	0.204127670490831	0.339535923251581	0.108333141150912	0.425552642422836	0.704366208838982	0.662896895351833	0.657655910991806	0.698657513193651	0.553988138184949	0.116074367033649	0.588512700085805	0.50012502889932	0.205633973073294	0.59176513206619	0.248950228431859	0.288677176745218	0.313605239741696
CARB	0.0850198804474791	0.547038390599848	1	0.821823339083323	0.620354661785762	0.5248779926749	0.506848671802812	0.454989140783772	0.433385685769811	0.265176028416534	0.457243552382406	0.100604470972679	0.352905723581018	0.40399461527521	0.193040707522418	0.253193951134874	0.140297836126312	0.293553133571635	0.0834651794719523	0.699306670855437	0.584038381181766	0.493187102023678	0.492382354164726	0.588456812962971	0.394309634877481	0.514309445131312	0.545785555230315	0.451281075801205	0.341573432200697	0.0954387603408438	0.38320394152419	0.397342010070077	0.139827747512604	0.534140422652447	0.69794986745745	0.633728345343559	0.599367928129942	0.482679053357825	0.574322316862816	0.596272968685589	0.718063636501896	0.517424727338056	0.149919214642188	0.190894098939342	-0.0631340854190204	0.382185799724099	0.382788390973738	0.216284202938824	0.324982753872051	0.119973794107943	0.368336877479776	0.543762022317877	0.48189089000184	0.312717449563793	0.45796774846391	0.330734982214203	0.0450321238236969	0.428926069376425	0.391963945740261	0.164068900477979	0.220393903822909	0.161300570181301	0.216751280449971	0.200104787938548
SUGR	0.0724378034247339	0.379793658110875	0.821823339083323	1	0.328186458646893	0.347437289606012	0.38821228646481	0.296276677570179	0.202718903241594	0.18675423715996	0.253355098279374	0.0591768512407235	0.351404194771648	0.359185654121077	0.0918059973554452	0.193448482975356	0.0574100180894154	0.189268198234623	0.0834217770961614	0.416874933145846	0.480448601995156	0.307683185557808	0.358399877198979	0.289813512814708	0.180632366550143	0.270670881993655	0.264016939201873	0.323075098771823	0.31517324308627	0.0818375218100587	0.329825441504677	0.414823963524959	0.0915637121579037	0.413580202563938	0.514580299048431	0.440184799777837	0.32021373050302	0.366176162304991	0.367195912247813	0.304244420140323	0.560494860202764	0.283457573490303	0.184698655053922	0.247763300779307	-0.0845405272604468	0.347740384733355	0.356483313122825	0.236650194156561	0.305575321976803	0.158869352573939	0.323393916742929	0.383914197473274	0.362717094226212	0.260191638910839	0.296194507510939	0.214907340900918	-0.0141002017725632	0.199224367678331	0.170848328599129	0.14324885274766	0.158280958663354	0.115186386895131	0.175615234408408	0.145719623747277
FIBE	0.0248420236937144	0.432657011652948	0.620354661785762	0.328186458646893	1	0.33315199718519	0.253948424236294	0.311759201529964	0.350854369874611	0.0716014499475836	0.466703183483602	0.0874249297409498	0.206209721562089	0.430413060273753	0.370351755429904	0.436794877048907	0.295281806420101	0.243448245995867	0.303057217208355	0.545031355002554	0.426014957643776	0.357042851950032	0.49902326653594	0.679172740766957	0.309396798331699	0.774858253637099	0.578749481659035	0.298102819515041	0.271935066063146	0.166624825002946	0.473805950559109	0.271192835845783	0.350187788110338	0.464398806007851	0.584286628188585	0.752788471781578	0.596528851799989	0.488447479279427	0.752180081480792	0.393563456355253	0.693005885991652	0.391078935866692	-0.0730435387144699	0.0900201198829848	-0.189317043510252	0.224943420046249	0.19850441760891	0.083677654693743	0.162115146015066	0.0191440502225067	0.165575385282818	0.294854419901892	0.209223007132866	0.103372400240728	0.321225889572129	0.239672243673817	0.0384744388985739	0.348109192220753	0.344698903278232	0.141097829871566	0.0465081156070117	0.12991989245045	0.101595771865726	0.154045745893745
TFAT	0.136593436016675	0.727348630989774	0.5248779926749	0.347437289606012	0.33315199718519	1	0.900440151166587	0.964190982410588	0.867055044492897	0.614006709134131	0.722645948105361	0.170206513701715	0.316823990900365	0.320512960637792	0.213953835791696	0.155400529223171	-0.00566833329087855	0.200045060197711	0.045713107865095	0.537412538634351	0.550795411024637	0.514449706010396	0.410180598729522	0.273964102791842	0.159089691968923	0.270137056329521	0.24532906693486	0.634653647283912	0.363955922265908	-0.00655319235893459	0.107045874076758	0.277197256902951	0.183479999930926	0.470293606487805	0.718061970339427	0.486188259319438	0.409716365466179	0.540724773030773	0.509119692078972	0.782585538524068	0.582996443876274	0.663429399288449	0.0871228818252221	0.238689741995599	-0.0708114094721894	0.492849060896413	0.507689458450394	0.380271208393537	0.514472327536962	0.280364204485673	0.604403739043617	0.942496251954031	0.903023115238151	0.748573393932349	0.960841279406158	0.666880614195486	0.130176283826222	0.868378116658697	0.744899757794465	0.173632368059516	0.5487721582622	0.158953654453953	0.247821099298339	0.202107751620074
SFAT	0.121158036822824	0.653749313533822	0.506848671802812	0.38821228646481	0.253948424236294	0.900440151166587	1	0.809213782584365	0.608704299785848	0.561632652281026	0.489118135714174	0.0979659623357588	0.380786704471169	0.347091624715931	0.150361847598769	0.136612250382684	-0.0432974136313852	0.229268427352431	0.055643699884634	0.499010181807421	0.554261249917754	0.419950891293003	0.327605688953587	0.228187254062691	0.182539377647648	0.163121549608991	0.22184621472233	0.549479146517936	0.36111975347716	0.000905759814899207	0.0527053800400273	0.269872582764983	0.137183360310019	0.539279078849296	0.673426377303594	0.376940322674251	0.391002846580474	0.549950207695528	0.366874616914809	0.710881689560716	0.508799894525048	0.576340877214812	0.117016519385266	0.244660006339372	-0.0990153640375274	0.716852215342468	0.738037460076612	0.634783709985	0.77889134369376	0.493891478950974	0.858631247250322	0.959825227988851	0.953118641896936	0.747615472316457	0.797332565083889	0.485096788166969	0.0775383861819231	0.607329904645745	0.524479157492789	0.175231334711517	0.446887882922022	0.0733086699742957	0.175163877045906	0.105983988345157
MFAT	0.136559909435084	0.708743665445026	0.454989140783772	0.296276677570179	0.311759201529964	0.964190982410588	0.809213782584365	1	0.830028723205307	0.610296575615358	0.774343943057319	0.222685519776281	0.271024731008307	0.253110407652599	0.178475341989043	0.0987992720203413	-0.0159948598661541	0.147280439150938	0.0462165582760935	0.481670872081996	0.507682455786862	0.514691951327856	0.412536572564331	0.250882207037056	0.126050583792516	0.271811858576416	0.217896951588013	0.635736149603279	0.350569677153341	0.00948894831672988	0.103451266775638	0.246023181694438	0.171102062535828	0.400030157662057	0.67528910472735	0.490950967319511	0.374715870457167	0.527516921006695	0.517648522537069	0.730690804447642	0.563257635351897	0.634890917388442	0.0847834803667884	0.237289611363484	-0.0490752526551419	0.367037290035891	0.370498884088503	0.249462685453992	0.368909323177996	0.181573045896203	0.465144822265946	0.874936533980475	0.842859452945875	0.754371925542825	0.998779518528847	0.699611211393226	0.105257976641134	0.836267836882139	0.671867216383618	0.156942778542415	0.563477723396446	0.14393138374634	0.242042126349286	0.18685196232033
PFAT	0.106362536194162	0.595104780965843	0.433385685769811	0.202718903241594	0.350854369874611	0.867055044492897	0.608704299785848	0.830028723205307	1	0.484407544297489	0.742822661343932	0.171141109594694	0.194539824198318	0.272017340712406	0.274542412046843	0.202772550521629	0.0358358354829104	0.13005376623057	0.0238622800109808	0.469105151629202	0.407141636322929	0.441230094283171	0.365926850967463	0.270037201554123	0.115609427470549	0.317148215199443	0.227292563689501	0.537799632715302	0.251085477524517	-0.0440864073546573	0.149298914191666	0.224888820612153	0.21318013500368	0.314106329174215	0.584359737317129	0.462456306811644	0.339596307390882	0.363692766785591	0.51771100652737	0.684770708350202	0.504405185611476	0.578773897594811	0.0062580258328398	0.156460654658194	-0.0340755001245606	0.20553158943899	0.213956957198314	0.10477843315457	0.197699951977191	0.0579102334038049	0.262237303491581	0.711064847678864	0.634599123133605	0.504232255718686	0.836512495494415	0.653793617143555	0.196522119269034	0.998103046205933	0.91599956474534	0.154003619507099	0.485997283406996	0.228585636291721	0.253444421295021	0.267537015119608
CHOL	0.0814679109405655	0.660872862766998	0.265176028416534	0.18675423715996	0.0716014499475836	0.614006709134131	0.561632652281026	0.610296575615358	0.484407544297489	1	0.393422673313777	0.0677485829284522	0.193374121294347	0.14689207424774	0.0419016302967205	0.0244658884361225	-0.00661084153490344	0.0654694734201433	0.0368677735282641	0.323893699214151	0.400285607434172	0.419735354666159	0.372338499407737	0.0627637086729398	-0.0273283432695001	0.14076973466891	0.0337535032445556	0.88267789376781	0.307663750736838	-0.0182231098578098	0.0882109452792185	0.247807351852198	0.0540030174264594	0.184546152586262	0.524373643617584	0.240894700401092	0.227020632339901	0.414703968416983	0.246224042017314	0.586735082517745	0.366581812926344	0.65306982149988	-0.0149376513082529	0.100102144465663	0.0452238254365298	0.234645696239437	0.251189809760844	0.167714581639493	0.243590087752946	0.102097074139201	0.305149940563938	0.622287661879103	0.611476295666655	0.654086053677545	0.600991432479097	0.40970835598578	0.0656872245463109	0.471526114244495	0.405379616456309	0.00165664942606137	0.870444749307903	0.155087721989659	0.277461202322124	0.282061848450317
