#FOODID	vvkaj.00037	vvkaj.00002	vvkaj.00023	vvkaj.00029	vvkaj.00044	vvkaj.00045	vvkaj.00022	vvkaj.00024	vvkaj.00003	vvkaj.00016	vvkaj.00032	vvkaj.00038	vvkaj.00039	vvkaj.00007	vvkaj.00034	vvkaj.00004	vvkaj.00005	vvkaj.00011	vvkaj.00030	vvkaj.00010	vvkaj.00018	vvkaj.00033	vvkaj.00009	vvkaj.00026	vvkaj.00008	vvkaj.00031	vvkaj.00012	vvkaj.00027	vvkaj.00042	vvkaj.00025	vvkaj.00041	vvkaj.00006	vvkaj.00015	vvkaj.00013	vvkaj.00043	vvkaj.00028	vvkaj.00040	vvkaj.00014	vvkaj.00001	vvkaj.00021	vvkaj.00036	vvkaj.00019	vvkaj.00020	vvkaj.00035	vvkaj.00017	taxonomy
Milk NFS	26.5228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;Milk_NFS
Milk whole	0	21.7221	57.9256	23.17024	20.27396	28.9628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_whole
Milk reduced fat 2 	26.3276	0	0	0	0	0	52.6552	39.4914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_reduced_fat_2_
Milk low fat 1 	0	0	0	0	0	0	0	0	6.1488	24.5952	16.9092	15.372	17.21664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_low_fat_1_
Soy milk	0	0	0	0	0	0	0	0	0	0	0	0	0	24.69768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_soy;Soy_milk
Almond milk sweetened	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.0108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_almond;Almond_milk_sweetened
Almond milk unsweetened	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.19800000000001	7.55789999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_almond;Almond_milk_unsweetened
Coconut milk	0	0	0	0	0	0	0	0	13.2492	0	0	0	0	0	0	0	1.65615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_;Coconut_milk
Yogurt whole milk plain	0	0	0	0	0	0	0	0	44.50425	0	0	0	0	0	0	0	0	3.7086875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;Yogurt_whole_milk_plain
Yogurt low fat milk plain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;Yogurt_low_fat_milk_plain
Yogurt whole milk fruit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.47	23.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;Yogurt_whole_milk_fruit
Yogurt Greek nonfat milk fruit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;Yogurt_Greek_nonfat_milk_fruit
