	BMI	F_TOTAL	F_CITMLB	F_OTHER	F_JUICE	V_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_TOMATO	V_REDOR_OTHER	V_STARCHY_TOTAL	V_STARCHY_POTATO	V_STARCHY_OTHER	V_OTHER	V_LEGUMES	G_TOTAL	G_WHOLE	G_REFINED	PF_TOTAL	PF_MPS_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_EGGS	PF_SOY	PF_NUTSDS	PF_LEGUMES	D_TOTAL	D_MILK	D_YOGURT	D_CHEESE	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
BMI	1	-0.00880429977106086	-0.403062501540638	0.173138416413425	0.16569595707869	-0.0915332664050434	-0.334425777450988	0.150642955157455	0.352263175336821	-0.134635594161511	0.292021621894336	0.320335370406988	-0.312240867245828	-0.35687135431738	-0.419114074589672	0.442798530432168	-0.128450142584449	0.458463427127622	-0.0863585192892812	-0.0235457174425543	0.531092266207391	0.181001135904489	0.096293477295329	-0.199876494900663	-0.384890317301046	-0.326291189475693	-0.287883472463963	0.156885470318105	-0.422431319815076	0.117414056004901	-0.212830341176465	-0.0235163758776766	0.392342615633207	0.163333805195992	0.425487640632034	0.57971605480719	0.593230236081509
F_TOTAL	-0.00880429977106086	1	0.534803113822482	0.886801181162081	0.694796570004758	-0.0446584009251457	0.384839522663693	0.137358412344893	-0.0717635467207682	0.316270382673496	-0.335626801331506	-0.305075407548766	-0.294952536058416	-0.0685901363381617	0.344117184327287	0.0383057281432639	0.634403910758488	-0.133060893608245	-0.575137092564529	-0.672340799509436	-0.396903178504732	-0.253765764846895	-0.371225018760796	-0.392682187684189	-0.400697225978372	-0.436437180255183	-0.155343510794534	0.705242096937488	0.333257876074449	-0.0245341356409377	-0.152235548916696	0.714173346784299	-0.0187146172780093	-0.0177482201321719	-0.179618956913281	0.0855806838514437	-0.225496401353474
F_CITMLB	-0.403062501540638	0.534803113822482	1	0.13204235407366	0.116120681049469	-0.0403476408604468	0.317174455129717	-0.189130392659772	-0.345740859336456	0.0611959348891199	-0.194299409069495	-0.193280954324155	0.00197620058193022	0.0436689949275999	0.398915930646507	-0.116940521687277	0.456485950978602	-0.234143418013405	-0.461215006670429	-0.480306441823189	-0.244471631491519	-0.330573412697124	-0.264448515674198	-0.242968136425634	-0.299552486697074	-0.290538705800194	-0.148440452993025	0.280239662875086	0.40263231260277	-0.0741216238342897	-0.116422097155177	0.505234865647285	-0.0589654165607066	-0.120762930654902	-0.251181480973632	0.00490568123113463	-0.253882694609037
F_OTHER	0.173138416413425	0.886801181162081	0.13204235407366	1	0.593324161428783	-0.0063830293118052	0.357353212642007	0.312846415556199	0.0980763821328048	0.428149298462365	-0.294527010573343	-0.249558348818235	-0.447005744717002	-0.121382962553123	0.229959496226152	0.194069072545439	0.569281715451216	0.0335475405190971	-0.472776599712383	-0.544720853323416	-0.31398287574476	-0.128231514635785	-0.31632787285883	-0.351544011167599	-0.321022058471872	-0.385642904219064	-0.146104749813913	0.580163469049417	0.215338525347418	0.0218366421012238	-0.106215780159653	0.582606833143093	0.0337706243186199	0.115035152794499	-0.0402084173973936	0.195099020860399	-0.0779737132507578
F_JUICE	0.16569595707869	0.694796570004758	0.116120681049469	0.593324161428783	1	-0.099389880707509	0.0239338032780032	-0.00167290927232017	0.0179125918633263	-0.0228880802526561	-0.216201076242272	-0.220368607757863	0.0571297623811238	-0.0117825083821725	0.0807380442608517	-0.200453338870191	0.214542391454425	-0.249391241486622	-0.237983004312443	-0.405300757483151	-0.330362914790426	-0.116593818521556	-0.179464350052442	-0.205015383432591	-0.228700647657716	-0.206593313385021	0.0317628197231864	0.793513681410713	0.0710341845707232	-0.0373036424887785	-0.128450122514713	0.427546921225911	-0.0743487687442723	-0.199540952916443	-0.200416284848763	-0.217958862850299	-0.279340524646813
V_TOTAL	-0.0915332664050434	-0.0446584009251457	-0.0403476408604468	-0.0063830293118052	-0.099389880707509	1	0.579856976888915	0.737238088680515	0.597879724830672	0.599198494830342	0.584452116548408	0.575715630173111	0.0528433063282018	0.686929354281595	0.339066239101438	-0.339028635795373	0.432007892314411	-0.440300438144901	-0.252960674436763	-0.34125732044409	-0.548691955271685	-0.0866215089432098	-0.170753940763657	-0.0612932660439154	-0.0767766603636532	-0.124901572336871	0.279538481479794	0.249576389959979	0.336948089229063	-0.422012473480155	-0.175055129324416	-0.084740760663848	-0.444949331926632	0.736458041135621	-0.487665821991187	-0.318041705214301	-0.458748852270257
V_DRKGR	-0.334425777450988	0.384839522663693	0.317174455129717	0.357353212642007	0.0239338032780032	0.579856976888915	1	0.375783126385421	-0.0546399589689381	0.706946470689524	-0.130634820460049	-0.121886769291644	-0.0822294436888023	0.505149678770856	0.275264062387852	-0.46297978016732	0.732232062652414	-0.639347111316808	-0.219674651621155	-0.329302115749549	-0.433785310009635	-0.22223575464553	-0.24098411501236	0.0149850374260328	-0.139470377936996	0.0216703407005059	-0.155020398329424	0.460617594030711	0.270548402817549	-0.183102606600382	0.0332909546973489	0.245842874250938	-0.426009828522073	0.456582785376101	-0.461653929613971	-0.313517903302327	-0.655611612263674
V_REDOR_TOTAL	0.150642955157455	0.137358412344893	-0.189130392659772	0.312846415556199	-0.00167290927232017	0.737238088680515	0.375783126385421	1	0.833853373136008	0.787197610208976	0.548380043295086	0.568484296473758	-0.243700158383704	0.154853616896512	0.494476098078133	0.141848731776825	0.573904172099342	-0.0177037439635031	-0.568777345427386	-0.565505459558462	-0.406223010913145	-0.367506463016344	-0.382009514298034	-0.457351748413391	-0.0808910925594672	-0.507839037038197	0.24620738506906	0.126983900999282	0.488070366439958	-0.405652719267115	-0.345674820302798	-0.175273201608766	-0.249355011860855	0.61480916784804	-0.327619613724369	0.0265227315863524	-0.172554729826635
V_REDOR_TOMATO	0.352263175336821	-0.0717635467207682	-0.345740859336456	0.0980763821328048	0.0179125918633263	0.597879724830672	-0.0546399589689381	0.833853373136008	1	0.315997149908484	0.803176277572505	0.829737312006588	-0.327041840310497	-0.0226262572735595	0.293199218124212	0.224251030890023	0.11158270567888	0.184921835664699	-0.514350288174008	-0.475561645297711	-0.192031417718926	-0.132307566267148	-0.192866853059578	-0.470388773029465	-0.220445280119527	-0.49447084445944	0.268423829509618	-0.029587364388495	0.289879405611648	-0.151813532116435	-0.15690576484544	-0.30524727096122	0.0133099691755262	0.492079165208117	-0.0519688211540258	0.139510894029076	0.0876166750693866
V_REDOR_OTHER	-0.134635594161511	0.316270382673496	0.0611959348891199	0.428149298462365	-0.0228880802526561	0.599198494830342	0.706946470689524	0.787197610208976	0.315997149908484	1	0.0452215147268822	0.0501018954510542	-0.0534905216053568	0.291443204709292	0.522337531238736	-0.00673092424946729	0.861768682332606	-0.237031474958096	-0.402968584542574	-0.440681050746214	-0.483675782994839	-0.483855193019579	-0.44112395417712	-0.260564500572559	0.107253705347229	-0.320437201929854	0.123290358137659	0.251317631498326	0.515036310499044	-0.527628588720162	-0.418848613934768	0.0397727843241838	-0.443464801014856	0.506970819502159	-0.505054858472408	-0.110279561142647	-0.394477982190427
