	BMI	PROT	TFAT	CARB	ALC	CAFF	THEO	SUGR	FIBE	CALC	IRON	MAGN	PHOS	POTA	SODI	ZINC	COPP	SELE	VC	VB1	VB2	NIAC	VB6	FOLA	FA	FF	FDFE	VB12	VARA	RET	BCAR	ACAR	CRYP	LYCO	LZ	ATOC	VK	CHOLE	SFAT	S040	S060	S080	S100	S120	S140	S160	S180	MFAT	M161	M181	M201	M221	PFAT	P182	P183	P184	P204	P205	P225	P226	VITD	CHOLN	VITE_ADD	B12_ADD
BMI	1	-0.0448287947603851	0.40355824254309	0.451421313785551	0.593011237180619	0.534440605594406	0.372936399066831	0.520607847964303	-0.0288729748722873	0.254136067132365	-0.0312606457682129	-0.269415028444561	-0.00381886637027782	0.00175216937245302	-0.0104817272510093	0.0856043111667381	-0.0203148195669637	-0.0370105799611948	-0.220572029879125	0.413035347928956	0.106151780350373	0.2961382045502	-0.0290041496319452	-0.107112497177466	0.206542515283731	-0.392909796619371	-0.00540518924862333	-0.386393123227618	-0.427615403365094	-0.284207931765607	-0.22384999552381	-0.156052010780752	0.260113637791301	0.440841048548839	-0.429629098948313	0.163703717196117	-0.407141313687927	-0.108221778957477	0.392959256738213	0.254058867611674	0.271450649792956	0.205160158270933	0.280788795904048	0.222609462310497	0.315211867605191	0.388711492021157	0.458839187557128	0.446361003936569	0.190102268753652	0.462359380682886	-0.0218864423045978	-0.143244523869555	0.209318192761255	0.270124551508747	0.0508602004609982	-0.17593180217338	-0.103849902476751	-0.35477522613367	-0.289975474342554	-0.376170733588637	-0.272821082328052	-0.209661904983188	0.047032108439258	-0.130425330829065
PROT	-0.0448287947603851	1	0.499754741528571	-0.272404092734196	0.322440879196214	0.0801600929432679	0.237462491662486	-0.182264031415932	-0.770835602779978	0.214212505450484	-0.295473579150649	-0.291213530928677	0.901304112670177	-0.00294565965499564	0.516259166341946	0.652441654792602	-0.449952304350234	0.854546572728852	-0.65535261613344	-0.25590697521773	0.79455148718514	0.695792373626531	0.143166365146667	-0.510863395785927	-0.305262809198996	-0.46886656335142	-0.469050030257167	0.760022374601809	-0.29760260133825	0.25436079092799	-0.505938259715341	-0.374163638000426	-0.476912267207923	-0.345000259243629	-0.312846677427667	-0.311147050946112	-0.316509038172364	0.951178352262604	0.514912796051632	0.417670524682357	0.423134185585719	0.31811535696217	0.409851186254249	0.190068298025946	0.476457553498285	0.565196661108797	0.490084227957415	0.484881667396412	0.760087680980112	0.435820496821756	0.7390738844614	0.265241556848564	0.204801968284989	0.126835465443282	0.0533891250508911	0.542463382416797	0.95183119912852	0.599094715931921	0.761011398027739	0.671253327576908	0.713466855600073	0.942525525084419	-0.627923298643595	-0.731821343045648
TFAT	0.40355824254309	0.499754741528571	1	0.473555335371363	0.725118618011675	0.631664274098419	0.819061041916677	0.591239138429746	-0.145373410876878	0.804000893907606	0.0917418367302938	0.044857649066599	0.741476821533594	0.286249799164714	0.237903688212004	0.70396094763836	-0.171357847856175	0.421163763297534	-0.379163036945491	0.316445921051038	0.73004834414037	0.575312497717274	0.0842155382700773	0.0263822467876697	0.1969297275898	-0.176040838896951	0.0855679725365727	0.0790615102792803	0.0335211708843547	0.531326798025049	-0.390313159823446	-0.22292949012206	-0.138974894908754	0.253567197829715	-0.296679553825949	0.269716752930609	-0.230015260523711	0.538527850978769	0.945264332245829	0.859522349368555	0.845572922948052	0.774155762215454	0.817660775175002	0.711919921959806	0.871104360762362	0.967585049044116	0.937017103277479	0.983906756469045	0.808208126581721	0.980911977383175	0.460694105735562	-0.269342976459783	0.699705427238566	0.723497491952277	0.411697449235325	-0.0476696191292463	0.521333487685476	-0.113712421976589	0.105920999989821	-0.0437355809000481	0.210706749179601	0.382693631714492	-0.18411187826726	-0.33778412492578
CARB	0.451421313785551	-0.272404092734196	0.473555335371363	1	0.699221818554378	0.769264990392095	0.764505624800999	0.875551082822118	0.412284281819945	0.519263174002259	0.773297042829424	0.231418069055126	0.00894116508587303	0.0804065370311161	0.192766868778396	0.158800061343717	0.209691234361878	-0.0205358755417165	-0.0343184452197939	0.64493915830631	-0.0206573912137172	0.275175023450018	-0.0183902493418468	0.630786459938289	0.841674018292066	0.0661136738592592	0.737106617514402	-0.307905151516616	0.220683257353714	0.18619467217455	0.0611181066295773	0.17853778109716	-0.0671910009417495	0.608336958259226	-0.376688025132592	0.356204046985815	-0.23478947795479	-0.35002420326058	0.442984149336324	0.309006588827942	0.307294670069493	0.31004117817138	0.280823581479309	0.438567276081936	0.361397524971018	0.416954375599527	0.531592240507879	0.411239962710046	-0.0154776223812811	0.448194709509144	-0.178071047745728	-0.23580026752125	0.460706223963898	0.547899888409533	0.27414944378323	-0.413201950990817	-0.346683033135391	-0.448641021410521	-0.461175094722703	-0.512066360816058	-0.488124817027174	-0.460036336896383	0.235144439839405	0.236221083700509
ALC	0.593011237180619	0.322440879196214	0.725118618011675	0.699221818554378	1	0.8577711974063	0.776342457874819	0.693685449327723	-0.279273493583416	0.63816249030548	0.400400164193608	-0.278799656261781	0.456267021492386	-0.0913204859686185	0.419988842227098	0.51662525120905	-0.298366643685702	0.389900617870784	-0.527797165705443	0.410358495521992	0.410884908577433	0.65863817196627	-0.171964312901282	-0.0189829246188317	0.443815367875627	-0.515917377425966	0.138580993421705	0.0452520383482811	-0.283012517688583	0.292307493898672	-0.531292878507208	-0.333591378360858	-0.09331328633642	0.247044800883655	-0.678130681874939	-0.0848180395197847	-0.624446921004818	0.239142196039464	0.766956839351357	0.581828598699052	0.579294955535377	0.506371242166325	0.545770517298098	0.522868560711708	0.691412576224573	0.764815344691777	0.842284013769645	0.690541454468945	0.555992540137316	0.682010044064302	0.237860366780309	0.0466693924381429	0.360686131297848	0.40729670791991	0.0571785701283114	-0.0537391996193576	0.251139479663193	-0.112341552557459	-0.013220495013545	-0.138191792404002	-0.0854860805964417	0.0729875917522946	-0.328010499214043	-0.375853336951102
CAFF	0.534440605594406	0.0801600929432679	0.631664274098419	0.769264990392095	0.8577711974063	1	0.71894224149403	0.737940107770141	-0.0719200300208932	0.596980975404637	0.452430021680126	-0.158721245947884	0.247550135850832	-0.109290960393165	0.297007313171218	0.444614352579786	-0.220091734553319	0.155909677362354	-0.423504587868276	0.418181304661363	0.325423074221959	0.445776632911782	-0.130393343031069	0.17000266412797	0.565817221448363	-0.352581290704349	0.314762360511137	-0.199903188617187	-0.0924108229138705	0.22438705724014	-0.290911582111369	-0.0893568040695183	-0.150060727989624	0.484866740005639	-0.600450638583761	0.0473964911289956	-0.485291969881576	0.0204625158814896	0.66736139536658	0.521063102536873	0.517947207228537	0.457665270380984	0.490774153523198	0.508446344932535	0.60693252000356	0.649008191074924	0.742186278618234	0.587582787266207	0.409338100435895	0.586685004565581	0.0575703412687792	0.00530294996668539	0.342125369656648	0.40416689016743	0.118975175860767	-0.225731112325293	0.0364011273008223	-0.29421971415201	-0.227218178115498	-0.335711468663035	-0.293079077599061	-0.153586194061224	-0.0497864137831647	-0.0752434221481725
THEO	0.372936399066831	0.237462491662486	0.819061041916677	0.764505624800999	0.776342457874819	0.71894224149403	1	0.709516555265723	-0.0160204008145051	0.747997861512778	0.397197051452765	0.239513661261784	0.516678333925658	0.0697400497079643	0.391198852955869	0.480402751785728	-0.0040272792329976	0.339292087820216	-0.453397094228459	0.486088796214088	0.463198383711411	0.465259022508106	-0.175101658313269	0.23052530084843	0.48776516136402	-0.174720351337027	0.330755370481348	-0.0594123753521399	-0.0143062263815141	0.405319527932826	-0.339797917228746	-0.198517650645689	-0.2435008251209	0.371022605537933	-0.466061132914674	0.182741987076897	-0.421015449353137	0.212207846302981	0.822587610104656	0.730087323323596	0.743945664311982	0.70134526273841	0.706602474484691	0.716883847124947	0.765649436259742	0.811612387336372	0.855695467529925	0.753310623782405	0.468491024209077	0.766898729171425	0.232677137449321	-0.133982776801289	0.564747393051302	0.621901771878835	0.217325248805183	-0.130320045646217	0.235403351014052	-0.165337415518425	-0.0590393075018362	-0.178800682449274	-0.0985619920686035	0.0390902406378357	-0.1801898417676	-0.281047003548614
SUGR	0.520607847964303	-0.182264031415932	0.591239138429746	0.875551082822118	0.693685449327723	0.737940107770141	0.709516555265723	1	0.346677004128786	0.695244941635595	0.587393480877696	0.161524568293446	0.138795288234558	0.0557950349444016	-0.116271295055529	0.351916268639024	0.0366028760200659	-0.102773789482872	0.0157674131493231	0.468336770427662	0.238141781927424	0.215761806037941	0.107404480909463	0.498384660671654	0.769548671980186	-0.0631101275783991	0.61888296553914	-0.385464371895601	0.271861213447146	0.36118200530802	-0.00683530812468539	0.0352287659795061	0.00677743420671533	0.523782816863339	-0.156092649153446	0.283441694231536	-0.132064644708114	-0.202448595687254	0.6093733927148	0.530379485884236	0.514381625313328	0.537715936074156	0.506324228450936	0.687915546489292	0.574234913697649	0.571326206328995	0.659027737880393	0.559108600286296	0.197989324205814	0.58928330572498	-0.144770652042602	-0.398089337805085	0.391550176083393	0.483624091525557	0.197686135103782	-0.463011769481765	-0.241811351002046	-0.566506035244267	-0.482861693546665	-0.578885882753402	-0.380795018213599	-0.336318205318126	0.142839278396879	0.282209225828036
FIBE	-0.0288729748722873	-0.770835602779978	-0.145373410876878	0.412284281819945	-0.279273493583416	-0.0719200300208932	-0.0160204008145051	0.346677004128786	1	-0.0209028727148045	0.415331276817572	0.642677619192263	-0.529629970633175	0.480823843736754	-0.422748901670775	-0.446995515013105	0.690575257114439	-0.57248479087967	0.806646860714626	0.377376055569756	-0.491662150738543	-0.429234593746288	0.34228811053435	0.859348020374868	0.472819462327247	0.829012189026061	0.773105124432881	-0.475131541374239	0.710936740425371	-0.0845932272381907	0.783871349961507	0.690649211522637	0.319198341201312	0.511285634698625	0.507609996383216	0.770507294170319	0.649504152227294	-0.711765257720126	-0.303265933603674	-0.244463690685231	-0.260431003034113	-0.151117574092931	-0.261004067178603	-0.0342703149206666	-0.338213655556637	-0.317218468593017	-0.300461493654967	-0.136381147999682	-0.565539075398526	-0.0747753850472629	-0.501169330622563	-0.552907926262569	0.300249422509189	0.358833167069321	0.449319637508084	-0.558042286528712	-0.754610605086773	-0.554882033924928	-0.64215924373562	-0.56223571668953	-0.465364374173587	-0.650788517413446	0.824214420338679	0.839008745870414
CALC	0.254136067132365	0.214212505450484	0.804000893907606	0.519263174002259	0.63816249030548	0.596980975404637	0.747997861512778	0.695244941635595	-0.0209028727148045	1	0.181697466720493	0.0707369918334268	0.537037345418394	0.145932823902255	-0.118656425755636	0.694385058531458	-0.413284519054952	0.0100322320391342	-0.284062969396432	0.375354844089218	0.610767417067568	0.143976307515925	-0.133933526753936	0.0707662613739701	0.270195689392968	-0.185908308301046	0.143158039784125	-0.207971477494754	0.129078588942042	0.686808170617196	-0.394456302852604	-0.336169545801375	-0.00482191382011744	0.250182396641058	-0.231675997754187	0.121722973424811	-0.279784752013975	0.271202939701572	0.88610411779853	0.908957034725127	0.890788465419746	0.913999183977994	0.874805959107966	0.881475446442586	0.904516855318306	0.85640754362353	0.863140782904671	0.808740028888067	0.65864030134826	0.816723486218282	0.0606470926806536	-0.364328489380777	0.310811926441324	0.37944827791083	0.0335923115210271	-0.371067569704907	0.221102910150732	-0.40492227909723	-0.188257799716153	-0.34907307848686	-0.0723811722138816	0.0634542544672097	-0.119196966527124	-0.117974907630108
