Variables	Min	FirstQu	Median	Mean	ThirdQu	Max	SD
UserName	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric	not_numeric
FoodAmt	1580.81095333333	1781.62708333334	1954.98055555667	1982.24168948156	2206.956975	2391.71666666667	266.594347055875
KCAL	1283.19990713333	1602.7883819445	1691.38633333333	1960.9910295126	2019.27440608333	3871.18074066667	683.777727690774
PROT	45.4340154166667	53.823040105	99.0127079666667	95.2335961047556	128.681922418333	149.32642	39.1501591612671
TFAT	53.7375966666667	63.6257460416666	78.4888449816667	90.3993026079333	110.771569116666	185.753561346667	35.6776575135517
CARB	59.18359	127.944786835	192.397795	193.295616284444	238.285180416666	412.747823233333	97.7207665867861
MOIS	1264.055	1431.63480770833	1586.80860814667	1578.53111708933	1654.0621725	1918.265497	194.657970171438
ALC	0	0	0	3.51906666666667	3.748	15.74	5.90470218756285
CAFF	2.4	25.62	32.08	63.6339444444445	82.804	211.286666666667	67.9350765087716
THEO	0	0	1.12	15.5224777777778	9.72766666666666	134.236666666667	35.7354028043724
SUGR	20.0332594866667	33.892457715	44.5536070833333	63.0825616305333	88.7968775833334	141.33364352	38.1266902942592
FIBE	6.86895	14.00721515	18.8974112	20.7811593903778	27.6578083333333	39.7564633333333	9.38227095742296
CALC	557.9854515	760.39179675	919.086652777667	956.760856091845	1133.065625	1773.97864666667	307.718679622098
IRON	9.66709468333333	11.548505	15.4749524416667	14.8020356781111	17.8723539541666	21.78565875	3.83821412369202
MAGN	254.131583333333	313.265916666666	341.485458334667	337.316376288978	367.944772333334	400.845558	43.1116011550026
PHOS	1005.31279166667	1233.92204	1594.05125	1628.62466009778	1993.03041183333	2429.00485333333	482.653657052582
POTA	2140.05181853333	2605.22085416667	2771.724	2929.37507531711	3230.868195	4104.88122222333	533.963093970087
SODI	1808.81945833333	2747.25570016667	3887.31173333333	4209.99107650378	5624.87592033333	7709.21838283333	1934.67061802407
ZINC	6.26487069433333	8.52373394083333	11.1457408183333	11.5512196268667	14.5041842866667	18.76018	3.78024964270212
COPP	0.657325	1.18886400966666	1.40098995833333	1.36551837244444	1.63724064583334	1.85069903333333	0.344275308076697
SELE	51.027252778	82.97099375	146.2750117	135.360704254089	179.318904258333	273.469583483333	61.99637101046
VC	25.7875114666667	55.2664496	79.3163541666667	93.6509019837111	143.8367819445	167.751266666667	51.5782321356419
VB1	0.732405833333333	1.27065598266667	1.39412016666667	1.57558990577778	1.76053891666666	2.87289359733333	0.544766070176418
VB2	1.04119945833333	1.70392150316667	1.91344970033333	2.06937737366667	2.43651897	3.15251531866667	0.66636176745736
NIAC	9.385978875	14.8456104166667	25.3235515133333	23.2031144231556	30.223754937	39.152564452	9.17430592874107
VB6	0.996287625	1.84855918883333	2.13550766666667	2.25871104675555	2.717849417	3.22949376666667	0.617801723418591
FOLA	214.8915	337.713291666667	439.354788	463.645891324444	575.864893833333	808.827333333333	165.662933045222
FA	0.57	23.0608333333333	132.496666666667	142.055177511111	239.259364666666	323.18	115.745533116348
FF	169.288058666667	217.894923833334	342.304833333333	321.537413813333	399.565222	484.814	106.009304473499
FDFE	215.7575	387.206614166666	523.031708333333	562.711597546667	717.268930333334	1034.184	234.135794997213
VB12	1.49003923933333	4.91920666666667	6.87899	8.56663384928889	10.6596833333333	19.980385	5.25376360560725
VARA	290.079016666667	588.534279	788.426833333333	849.943464474222	1054.35507083334	1516.87183333333	358.747946799572
RET	154.293333333333	240.632666666666	420.153333333333	456.93028808	604.99575	1042.94283333333	270.827486130432
BCAR	453.520286666667	1462.700943	3234.9960534	4229.43781633111	6031.67617361666	13430.0806666667	3670.42155334228
ACAR	6.42549666666667	130.558541666667	312.449583333333	920.134359962956	1058.3746180555	4700.25116666667	1308.61014997934
CRYP	17.4154166666667	35.97065	47.9479166666667	52.0110088888889	69.4240416666667	93.362375	24.2362491005505
LYCO	114.97	350.454729166667	1285.24133333333	3622.74518055555	5069.003875	13650.5333333333	4560.32601485275
LZ	439.099950666667	1257.6825	2868.25966666667	3003.17022645111	4241.82172916667	7384.958125	2004.89519464252
ATOC	5.02851092	7.921859375	10.2162143126667	10.5428147593556	11.9226269016667	21.0675763333333	3.95536176767064
VK	78.5758901333333	138.5439725	212.592242426667	220.653233826222	291.90624	415.856833333333	108.828004848994
CHOLE	25.7058333333333	106.9365	376.441333333333	368.134934435556	593.905415333334	809.869666666667	276.284761210933
SFAT	12.018131395	14.4038848536666	16.1646035416667	25.3569572795333	34.565512685	67.9116678453333	15.6324324978325
S040	0.0252558333333333	0.163445166666667	0.303224	0.452422789977778	0.607488448	1.50951252466667	0.385094016149515
S060	0.0143241666666667	0.12632525	0.201237	0.310313328755556	0.401300851	1.07606504066667	0.272646267136811
S080	0.0312516666666667	0.134281395833333	0.236281333333333	0.240131594533333	0.286963033166666	0.705764550666667	0.16855871015575
S100	0.0412283333333333	0.1970510625	0.388397541666667	0.488926096177778	0.6102883125	1.577851766	0.408751154871111
S120	0.0287193333333333	0.232124145833333	0.5409775	0.603512495577778	0.736046967333334	1.935931264	0.489833545500995
S140	0.4093465	0.982036649999998	1.50901216666667	2.06534961622222	3.08986710416666	6.32060220266667	1.58693141326023
S160	7.16518733333333	8.5878739375	10.042084779	14.3271194286889	19.1581272363333	35.2702156473333	7.916647454316
S180	2.70043216666667	3.06234485416667	3.60787137066667	5.9291736828	7.44180263566667	17.3865559613333	4.2503375404615
MFAT	17.1449685633333	21.7251473958333	30.106638014	32.0003506180444	40.3065543333334	62.4249480873333	12.5094310818627
M161	0.305308666666667	0.566628875	0.861732	1.18355281466667	1.81181091666667	2.53647930266667	0.77157618137741
M181	14.6497948106667	20.87682425	29.137075764	29.7583821038222	36.465141375	58.3544156373333	11.5433611702134
M201	0.112646	0.244488729166667	0.43084675	0.533186234377778	0.761545437333333	1.145633724	0.353956216464505
M221	0.0012275	0.007457875	0.0329503333333333	0.111912202222222	0.0923034166666666	0.570924	0.181167497087008
PFAT	15.4206428333333	18.9670563313334	24.6474432916667	25.3489863783778	29.8409407683333	40.0507486566667	8.05589607815575
P182	13.7451825	15.8387904195	20.123648623	21.6533369876667	25.2704544461666	35.914272472	7.03789766095181
P183	1.31417922066667	2.0220015435	2.84968638933333	2.75340008473333	3.22991312866667	5.11359616666667	1.06524128301375
P184	0	0	0.00257375	0.0449003277777778	0.0885130000000001	0.174636	0.0603946679878248
P204	0.00794833333333333	0.0450508333333333	0.198031333333333	0.185618861555556	0.307992584	0.383449666666667	0.136604286155636
P205	0.000106666666666667	0.0022725	0.0185718666666667	0.173454318044444	0.381245285333333	0.582892178666667	0.224344466653307
P225	0	0.00352666666666667	0.036249	0.0558444944444444	0.106092666666667	0.169125666666667	0.058029771756723
P226	0.0003425	0.0115016666666666	0.0390196	0.32823764	0.744124833333333	1.04235666666667	0.404107658320314
VITD	2.07191666666667	3.0644125	6.2188466	11.0450972444444	15.6564602	39.4698	10.683025520751
CHOLN	176.361741666667	228.819859823333	411.815824833333	446.480470396444	616.280735425	811.098460833333	232.715100779885
VITE_ADD	0	0	0	1.06776244444444	0.968	6.56329666666667	2.05221291737452
B12_ADD	0	0	0.49	1.40920444444444	2.422935	5.092615	1.88662530099462
F_TOTAL	0	0.200277083333333	0.309691666666667	0.596076366666666	0.819447666666666	2.06934833333333	0.62891776075169
F_CITMLB	0	0	0.04255	0.174101666666667	0.224916666666666	0.7807	0.261658959853901
F_OTHER	0	0.0196	0.137083333333333	0.346719855555556	0.483475	1.28808166666667	0.435111605813642
F_JUICE	0	0	0	0.0752548444444444	0.0672	0.48976	0.148423657717107
V_TOTAL	0.820641666666667	1.69903208333333	2.29409583333333	2.6297299166	2.83520583333333	6.382777639	1.45885575046644
V_DRKGR	0	0.116854166666667	0.417822916666667	0.4442363426	0.608448333333333	1.2872	0.388172517419188
V_REDOR_TOTAL	0.036	0.112958333333333	0.331016666666667	0.440808444444444	0.530904166666667	1.42867333333333	0.446880642105559
V_REDOR_TOMATO	0	0.030225	0.10962	0.234754111111111	0.372975	1.06071666666667	0.290475595209389
