FoodID	taxonomy	Main.food.description
11100000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_NFS	Milk NFS
11111000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_whole	Milk whole
11112110.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_reduced_fat_2_	Milk reduced fat 2 
11112210.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_low_fat_1_	Milk low fat 1 
11113000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_fat_free_skim_	Milk fat free skim 
11114330.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_lactose_free_reduced_fat_2_	Milk lactose free reduced fat 2 
11114350.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Milk_lactose_free_whole	Milk lactose free whole
11115100.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Buttermilk_low_fat_1_	Buttermilk low fat 1 
11115200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Buttermilk_reduced_fat_2_	Buttermilk reduced fat 2 
11115300.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Buttermilk_whole	Buttermilk whole
11115400.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;Kefir_NS_as_to_fat_content	Kefir NS as to fat content
11211050.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_evaporated_and_condensed;Milk_evaporated_whole	Milk evaporated whole
11320000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Soy_milk	Soy milk
11350000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Almond_milk_sweetened	Almond milk sweetened
11350020.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Almond_milk_unsweetened	Almond milk unsweetened
11360000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Rice_milk	Rice milk
11370000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;Coconut_milk	Coconut milk
11400000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_NFS	Yogurt NFS
11411200.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_low_fat_milk_plain	Yogurt low fat milk plain
11411390.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_Greek_NS_as_to_type_of_milk_plain	Yogurt Greek NS as to type of milk plain
11411410.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_Greek_low_fat_milk_plain	Yogurt Greek low fat milk plain
11411420.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_Greek_nonfat_milk_plain	Yogurt Greek nonfat milk plain
11430000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_NS_as_to_type_of_milk_fruit	Yogurt NS as to type of milk fruit
11432000.0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;Yogurt_low_fat_milk_fruit	Yogurt low fat milk fruit
