Food	Axis	correlation	pval	qval	Significance
Water bottled unsweetened	Axis.3	0.707085155781892	4.44808665133192e-37	7.46388940093496e-33	*
Tomatoes raw	Axis.4	-0.680329549405566	2.01086367351313e-33	1.68711462207752e-29	*
Ice cream regular flavors other than chocolate	Axis.9	0.572806611710723	5.61373271850144e-22	3.13994783388181e-18	*
Lettuce raw	Axis.4	-0.563340866571866	3.65748738074921e-21	1.53431595622429e-17	*
Sugar white granulated or lump	Axis.2	0.547577619501558	7.28146547838794e-20	2.44365981454699e-16	*
Milk reduced fat 2 	Axis.1	-0.537707900477133	4.37900565393992e-19	1.22466191455186e-15	*
Cheese American	Axis.2	0.536203103476495	5.72715815302823e-19	1.37288162582591e-15	*
Coffee brewed	Axis.3	-0.534961484101414	7.1396922792373e-19	1.49755045557002e-15	*
Milk whole	Axis.1	-0.529308369814573	1.92593994423966e-18	3.59080802937128e-15	*
Ham prepackaged or deli luncheon meat	Axis.10	-0.513165464594442	2.96441108446128e-17	4.97428179972603e-14	*
Pork sausage	Axis.6	0.502743789101286	1.60569699800052e-16	2.44941778422262e-13	*
Water tap	Axis.3	-0.485246102262943	2.41376865787851e-15	3.37525317326679e-12	*
Ham prepackaged or deli luncheon meat	Axis.4	-0.452362747262505	2.6361195630991e-13	3.40262202067714e-10	*
Soft drink cola	Axis.7	-0.433554802777	3.10565590670685e-12	3.72235043675292e-09	*
Bread white	Axis.2	0.416940304765229	2.42662348868805e-11	2.71458280934569e-08	*
Sugar white granulated or lump	Axis.6	-0.412466889077655	4.14156286663744e-11	4.34346405638601e-08	*
Ham prepackaged or deli luncheon meat	Axis.2	0.386929651407822	7.55822646522125e-10	7.46041412273015e-07	*
Sugar white granulated or lump	Axis.8	-0.380969312447173	1.43745918814414e-09	1.34003139872548e-06	*
Coffee creamer liquid	Axis.7	0.379546503154042	1.6726771901007e-09	1.47723806578367e-06	*
Coffee creamer powder	Axis.5	0.375624551071978	2.53047374612369e-09	2.12306747299777e-06	*
