Food	Axis	correlation	pval	qval	Significance
Water tap	Axis.1	-0.848799531629485	1.04997287063793e-66	1.76185447693045e-62	*
Water bottled unsweetened	Axis.1	0.80974358167971	4.28009952932219e-56	3.59100350510131e-52	*
Coffee brewed	Axis.3	-0.710760516066023	1.29907934723198e-37	7.26618381551756e-34	*
Soft drink cola	Axis.5	-0.555761604979852	1.57171506385119e-20	6.59334469285573e-17	*
Coffee brewed	Axis.2	0.52927245845039	1.93800434103383e-18	6.50394256850954e-15	*
Beer light	Axis.6	0.484854437722719	2.56023971816813e-15	7.16013707847687e-12	*
Milk whole	Axis.2	0.481589913034407	4.17124182548616e-15	9.99906254737969e-12	*
Milk reduced fat 2 	Axis.2	0.460967740989335	8.10035896489439e-14	1.6990502928866e-10	*
Beer light	Axis.5	0.454209893071801	2.05196264232679e-13	3.82577034869372e-10	*
Coffee brewed	Axis.4	0.445327387889212	6.75129853832078e-13	1.13286789473023e-09	*
Soft drink cola	Axis.4	-0.390867530384235	4.90770445887147e-10	7.48648007453302e-07	*
Soft drink cola	Axis.6	0.380918743988993	1.44524061902933e-09	2.02092813227602e-06	*
Water bottled unsweetened	Axis.4	0.359499330748307	1.31123400863751e-08	1.69250051268749e-05	*
Beer	Axis.7	0.352028083554649	2.7260323147597e-08	3.26734444583341e-05	*
Ice cream regular flavors other than chocolate	Axis.10	-0.347626104491975	4.15894732379215e-08	4.65247573954882e-05	*
Milk reduced fat 2 	Axis.9	-0.341016765503668	7.7478763161929e-08	8.12558528660731e-05	*
Milk fat free skim 	Axis.8	0.320585619202735	4.84808016160259e-07	0.000478534030068773	*
Tea iced brewed black pre sweetened with sugar	Axis.6	-0.316540052255102	6.86209284761824e-07	0.000639699544350189	*
Banana raw	Axis.7	-0.3154897998782	7.50354871917242e-07	0.000662681828987964	*
Milk whole	Axis.10	-0.3105563719091	1.13656869187766e-06	0.000953581132485357	*
Beer	Axis.9	-0.306572167849123	1.58076037359396e-06	0.00126310281280508	*
Milk fat free skim 	Axis.5	-0.285758266366185	8.19816637394657e-06	0.00610895523850402	*
Soft drink cola	Axis.8	-0.285479857573091	8.37341898007106e-06	0.00610895523850402	*
Water tap	Axis.3	0.278466356879944	1.41612609120876e-05	0.00990108158770122	*
Water tap	Axis.4	0.276321627384256	1.65828662164496e-05	0.011130419804481	*
Soft drink cola diet	Axis.9	-0.27377401344142	1.99689639408463e-05	0.0128876621125923	*
Milk reduced fat 2 	Axis.3	0.271974386659201	2.27445071947145e-05	0.0141352900269374	*
Orange juice 100 canned bottled or in a carton	Axis.10	-0.26546009474267	3.6153929783432e-05	0.0216665336344996	*
Tea iced brewed black unsweetened	Axis.6	-0.262281997354117	4.51315841913143e-05	0.0261140683700088	*
Milk low fat 1 	Axis.9	0.260714415725355	5.02971780919787e-05	0.0272253757543033	*
Milk fat free skim 	Axis.7	-0.26109951266045	4.89789382684e-05	0.0272253757543033	*
Coffee instant reconstituted	Axis.7	-0.250522271893205	0.000100086559534794	0.0524828896560575	
Soft drink cola diet	Axis.10	0.248637005480686	0.000113318868120471	0.0576209274867122	
Tea iced brewed black unsweetened	Axis.9	0.244524167733426	0.000148080989122237	0.0709942570706037	
Beer	Axis.10	-0.244952394294016	0.000144043336304594	0.0709942570706037	
Beer light	Axis.4	-0.24342502188787	0.000158934466517002	0.0740811207820913	
Coffee instant reconstituted	Axis.5	0.240447216038293	0.000192192250022124	0.0871617825776011	
Milk low fat 1 	Axis.8	0.239576750829624	0.000203078146112835	0.089675033994036	
Soft drink cola diet	Axis.7	-0.233601105952351	0.000294825692958713	0.126850644303775	
Milk fat free skim 	Axis.2	-0.231722457543742	0.000330841090497587	0.138787837463738	
Milk whole	Axis.9	0.229169700721973	0.000386358299226812	0.150769587465719	
Milk low fat 1 	Axis.6	-0.229261921346421	0.000384210562756087	0.150769587465719	
Milk fat free skim 	Axis.9	0.229843865390624	0.00037091128335231	0.150769587465719	
Potato baked peel not eaten	Axis.5	0.225373700507612	0.000485072469517155	0.184989000874951	
Tea iced bottled black	Axis.2	0.221128847944354	0.000622853427809421	0.232255122636491	
Cheese American	Axis.7	0.220194139346315	0.000657693721296822	0.236100139616083	
Apple raw	Axis.3	0.220099874448544	0.000661305516207145	0.236100139616083	
Tea iced brewed black unsweetened	Axis.10	-0.215468505952954	0.000863060142296021	0.289642983754545	
Beer	Axis.5	-0.215748159385611	0.000849426939450356	0.289642983754545	
Water bottled unsweetened	Axis.3	0.215494148729127	0.00086180170400173	0.289642983754545	
Coffee brewed	Axis.1	-0.211508055057795	0.00107905732087502	0.355031016554566	
Tea iced brewed black unsweetened	Axis.5	0.208195116337859	0.00129677272321935	0.418458582608091	
Sugar white granulated or lump	Axis.2	0.206346914601458	0.00143506452493649	0.454346843932722	
Sugar white granulated or lump	Axis.10	-0.205949769382252	0.0014664905193496	0.45569835027197	
Banana raw	Axis.8	0.203000366829935	0.00172032410894709	0.524855246329677	
Coffee instant decaffeinated reconstituted	Axis.10	0.202533084699241	0.00176403835056526	0.528581491472947	
Tea iced brewed black pre sweetened with sugar	Axis.7	0.201486032931635	0.00186569718476536	0.549235065971275	
Coffee creamer powder	Axis.2	0.200821288252954	0.00193298348482229	0.559232118539966	
Milk reduced fat 2 	Axis.7	-0.200170022203578	0.00200104525970262	0.562622077508503	
Grapes raw NS as to type	Axis.8	0.200069345812877	0.00201175951433315	0.562622077508503	
French or Catalina dressing	Axis.6	0.198821372734792	0.00214898514684099	0.591147061704784	
Egg whole boiled or poached	Axis.1	-0.198379245202628	0.0021996108733585	0.59531403959606	
Soft taco with meat	Axis.9	-0.197663152645256	0.00228391510480299	0.60831897553324	
