"Sample"	"vvkaj.00001"	"vvkaj.00002"	"vvkaj.00003"	"vvkaj.00004"	"vvkaj.00005"	"vvkaj.00006"	"vvkaj.00007"	"vvkaj.00008"	"vvkaj.00009"	"vvkaj.00010"	"vvkaj.00011"	"vvkaj.00012"	"vvkaj.00013"	"vvkaj.00014"	"vvkaj.00015"	"vvkaj.00016"	"vvkaj.00017"	"vvkaj.00018"	"vvkaj.00019"	"vvkaj.00020"	"vvkaj.00021"	"vvkaj.00022"	"vvkaj.00023"	"vvkaj.00024"	"vvkaj.00025"	"vvkaj.00026"	"vvkaj.00027"	"vvkaj.00028"	"vvkaj.00029"	"vvkaj.00030"	"vvkaj.00031"	"vvkaj.00032"	"vvkaj.00033"	"vvkaj.00034"	"vvkaj.00035"	"vvkaj.00036"	"vvkaj.00037"	"vvkaj.00038"	"vvkaj.00039"	"vvkaj.00040"	"vvkaj.00041"	"vvkaj.00042"	"vvkaj.00043"	"vvkaj.00044"	"vvkaj.00045"
"vvkaj.00001"	0	0.948051948051948	0.939393939393939	0.942028985507246	0.924242424242424	0.942028985507246	0.98	1	0.94	1	0.982758620689655	0.91044776119403	0.984615384615385	0.972222222222222	0.985074626865672	0.927272727272727	0.931818181818182	0.946428571428571	0.934782608695652	0.9375	0.939393939393939	0.940298507462687	1	1	0.983606557377049	0.982758620689655	0.982758620689655	0.983870967741935	0.936507936507937	0.985915492957746	0.972222222222222	0.87037037037037	0.935483870967742	0.959183673469388	0.946428571428571	0.88	1	1	0.983870967741935	0.982142857142857	0.983050847457627	1	0.952380952380952	0.985074626865672	0.964705882352941
"vvkaj.00002"	0.948051948051948	0	0.844155844155844	0.878048780487805	0.831168831168831	0.82051282051282	0.939393939393939	0.973333333333333	0.985915492957746	0.885057471264368	1	0.917647058823529	0.988095238095238	0.989130434782609	0.988372093023256	0.852941176470588	0.96875	0.987012987012987	0.985074626865672	0.985507246376812	0.8875	0.8	0.907692307692308	0.921052631578947	1	0.987012987012987	0.96	0.987654320987654	0.868421052631579	0.929411764705882	0.851851851851852	0.933333333333333	0.881578947368421	0.985507246376812	0.931506849315068	0.943661971830986	0.87012987012987	1	0.845070422535211	0.986666666666667	0.974025974025974	0.975903614457831	0.975903614457831	0.855263157894737	0.824175824175824
"vvkaj.00003"	0.939393939393939	0.844155844155844	0	0.89041095890411	0.902777777777778	0.808823529411765	0.982758620689655	1	1	0.951219512195122	0.901639344262295	0.948051948051948	0.972222222222222	0.975	1	0.901639344262295	0.962264150943396	0.984848484848485	0.982142857142857	0.886792452830189	0.945945945945946	0.917808219178082	1	0.985714285714286	0.955223880597015	0.984848484848485	0.984848484848485	1	0.972602739726027	0.947368421052632	0.935064935064935	0.85	0.957746478873239	0.964912280701754	0.936507936507937	0.950819672131147	0.914285714285714	0.962264150943396	0.873015873015873	0.951612903225806	0.96969696969697	0.986301369863014	1	1	0.956521739130435
"vvkaj.00004"	0.942028985507246	0.878048780487805	0.89041095890411	0	0.861111111111111	0.88	0.949152542372881	0.954545454545455	0.950819672131147	0.927710843373494	1	0.864864864864865	1	0.975903614457831	1	0.923076923076923	0.982456140350877	0.955223880597015	0.983050847457627	0.983606557377049	0.808823529411765	0.906666666666667	0.913793103448276	0.957746478873239	1	1	0.970588235294118	1	1	1	0.881578947368421	0.956521739130435	0.986842105263158	1	0.970588235294118	1	0.902777777777778	1	0.895522388059702	0.985074626865672	0.985714285714286	0.986842105263158	0.986842105263158	1	0.923913043478261
"vvkaj.00005"	0.924242424242424	0.831168831168831	0.902777777777778	0.861111111111111	0	0.828571428571429	0.947368421052632	0.936507936507937	1	0.964285714285714	1	0.975	1	0.98780487804878	1	0.96969696969697	0.923076923076923	0.96969696969697	1	1	0.974025974025974	0.888888888888889	0.966101694915254	0.941176470588235	0.985714285714286	1	0.953846153846154	1	0.972972972972973	1	0.949367088607595	0.888888888888889	0.880597014925373	1	0.953846153846154	0.859649122807018	0.945205479452055	1	0.925373134328358	1	1	1	0.972602739726027	0.973333333333333	1
"vvkaj.00006"	0.942028985507246	0.82051282051282	0.808823529411765	0.88	0.828571428571429	0	0.931034482758621	0.970149253731343	1	0.858974358974359	1	0.936708860759494	1	0.963414634146341	1	0.955223880597015	0.945454545454545	0.955223880597015	0.928571428571429	0.931034482758621	0.89041095890411	0.876712328767123	1	0.957746478873239	0.986111111111111	1	0.985507246376812	0.986301369863014	0.973684210526316	0.975308641975309	0.9375	0.909090909090909	0.930555555555556	1	0.985507246376812	1	0.855072463768116	1	0.861538461538462	0.985074626865672	0.940298507462687	0.973333333333333	0.973333333333333	0.987179487179487	0.957894736842105
"vvkaj.00007"	0.98	0.939393939393939	0.982758620689655	0.949152542372881	0.947368421052632	0.931034482758621	0	0.931818181818182	1	1	1	0.983606557377049	1	1	1	0.956521739130435	0.971428571428571	0.978723404255319	0.944444444444444	0.974358974358974	0.964912280701754	0.928571428571429	0.948717948717949	0.893617021276596	0.959183673469388	1	0.956521739130435	1	1	0.983333333333333	0.932203389830508	0.91304347826087	0.962264150943396	0.974358974358974	0.978723404255319	1	0.903846153846154	1	0.893617021276596	0.977777777777778	0.979166666666667	0.981481481481482	1	0.963636363636364	1
"vvkaj.00008"	1	0.973333333333333	1	0.954545454545455	0.936507936507937	0.970149253731343	0.931818181818182	0	0.979166666666667	0.972222222222222	1	0.985294117647059	0.983606557377049	0.970588235294118	1	0.962264150943396	1	0.981481481481482	1	1	0.984615384615385	0.919354838709677	0.883720930232558	0.927272727272727	0.982456140350877	1	0.981481481481482	1	0.95	0.96969696969697	0.970588235294118	0.963636363636364	0.931034482758621	1	0.942307692307692	1	0.967741935483871	0.925	0.946428571428571	0.94	1	1	0.931034482758621	0.915254237288136	0.975609756097561
"vvkaj.00009"	0.94	0.985915492957746	1	0.950819672131147	1	1	1	0.979166666666667	0	1	1	1	0.944444444444444	0.951612903225806	0.907407407407407	1	1	0.979591836734694	1	1	0.966101694915254	1	1	0.961538461538462	1	0.979591836734694	1	0.92	0.945454545454545	0.95	0.968253968253968	0.980392156862745	1	0.975609756097561	1	0.978260869565217	1	0.972972972972973	1	1	1	0.982142857142857	0.944444444444444	0.946428571428571	0.946666666666667
"vvkaj.00010"	1	0.885057471264368	0.951219512195122	0.927710843373494	0.964285714285714	0.858974358974359	1	0.972222222222222	1	0	0.986486486486487	0.858974358974359	1	0.977272727272727	0.987951807228916	1	0.983870967741935	0.972602739726027	1	1	0.951219512195122	0.9125	0.985074626865672	1	0.869565217391304	0.91304347826087	0.986486486486487	1	0.949367088607595	0.952380952380952	0.902439024390244	1	0.962025316455696	0.953125	0.986486486486487	0.985915492957746	0.923076923076923	1	0.932432432432432	1	0.830769230769231	0.935064935064935	0.962025316455696	0.95	0.905263157894737
