Food	Axis	correlation	pval	qval	Significance
Soybean soup miso broth	Axis.1	0.712754879627906	3.96013771544386e-08	6.95004169060398e-05	*
Tea hot leaf green	Axis.1	0.721628377596393	2.22851368442695e-08	6.95004169060398e-05	*
Rice white cooked fat not added in cooking	Axis.1	0.694380861574293	1.22002684254563e-07	0.000142743140577839	*
Soy sauce	Axis.1	0.632338419153268	3.16815243400486e-06	0.00278005376083927	*
Avocado raw	Axis.2	-0.623510495457451	4.75586681702913e-06	0.00333861850555445	*
Beer	Axis.4	0.579586085823376	3.01925536410888e-05	0.0151394090400317	*
Water tap	Axis.4	-0.581723039963123	2.77663720683173e-05	0.0151394090400317	*
Nutritional powder mix whey based NFS	Axis.2	-0.567865079945659	4.73139442020096e-05	0.0207589930186317	*
Water tap	Axis.1	-0.518423782537299	0.000264239466697141	0.103053392011885	
Bread white	Axis.10	-0.492567772667063	0.000587702062705402	0.206283424009596	
Milk low fat 1 	Axis.3	-0.473118750581458	0.00102999966772949	0.328663530339138	
Soybeans dry cooked fat not added in cooking	Axis.1	0.464442101021111	0.0013092220875626	0.362123442677599	
Soybean curd	Axis.1	0.463556601677748	0.00134119793584296	0.362123442677599	
Soybean curd	Axis.9	-0.452508911844792	0.00180269451517617	0.395466109266772	
Spinach raw	Axis.4	-0.452837058798431	0.0017871806111987	0.395466109266772	
Onions cooked from fresh made with oil	Axis.6	0.453440680577687	0.00175895176441402	0.395466109266772	
Seaweed cooked NS as to fat added in cooking	Axis.1	0.438760847340567	0.0025699193509368	0.530612760105186	
Milk whole	Axis.1	0.433641886218065	0.00292187191161068	0.569765022764083	
Milk NFS	Axis.2	-0.208944784822602	0.168369896121005	0.698489461249594	
Milk NFS	Axis.3	0.232160872025113	0.124879574360515	0.698489461249594	
Milk NFS	Axis.6	-0.232160872025113	0.124879574360515	0.698489461249594	
Milk NFS	Axis.7	-0.255376959227625	0.0904333678362704	0.698489461249594	
Milk whole	Axis.2	-0.290945697601764	0.052504169327234	0.698489461249594	
Milk whole	Axis.3	0.395372265413186	0.00718591733091184	0.698489461249594	
Milk whole	Axis.4	0.203903437032938	0.179110393290174	0.698489461249594	
Milk whole	Axis.5	-0.205955751082411	0.17468018134292	0.698489461249594	
Milk whole	Axis.6	0.278269640237372	0.0641830967818317	0.698489461249594	
Milk whole	Axis.9	-0.403098624187673	0.00604129879694719	0.698489461249594	
Milk whole	Axis.10	-0.367726387923226	0.0129506077419394	0.698489461249594	
Milk reduced fat 2 	Axis.2	-0.376708599441263	0.0107519464835763	0.698489461249594	
Milk reduced fat 2 	Axis.3	0.404737059731271	0.00582005308881604	0.698489461249594	
Milk reduced fat 2 	Axis.6	-0.377317913795393	0.010615161095349	0.698489461249594	
Milk reduced fat 2 	Axis.7	-0.325069207928692	0.0293448786103599	0.698489461249594	
Milk reduced fat 2 	Axis.10	0.30435251988825	0.0420817768660532	0.698489461249594	
Milk low fat 1 	Axis.2	-0.273440666003318	0.0691421137943038	0.698489461249594	
Milk low fat 1 	Axis.4	-0.242173057837817	0.108980646753452	0.698489461249594	
Milk low fat 1 	Axis.5	-0.215372250838816	0.155362792575558	0.698489461249594	
Milk low fat 1 	Axis.8	-0.257746499742642	0.087381183920046	0.698489461249594	
Milk low fat 1 	Axis.9	-0.216820943109033	0.152535602879017	0.698489461249594	
Almond milk sweetened	Axis.3	-0.208944784822602	0.168369896121005	0.698489461249594	
Almond milk unsweetened	Axis.1	-0.298462625475877	0.0464309002151038	0.698489461249594	
Almond milk unsweetened	Axis.4	-0.357122152608961	0.0160295677138979	0.698489461249594	
Almond milk unsweetened	Axis.5	0.20254138613876	0.182094716258931	0.698489461249594	
Almond milk unsweetened	Axis.6	0.340889327490372	0.0219334629541658	0.698489461249594	
Almond milk unsweetened	Axis.7	-0.275220171328807	0.0672805230065117	0.698489461249594	
Coconut milk	Axis.1	-0.265259119551491	0.0782319529315755	0.698489461249594	
Coconut milk	Axis.4	-0.348267884362458	0.019056027819362	0.698489461249594	
Coconut milk	Axis.5	0.255298067774175	0.0905363920175315	0.698489461249594	
Coconut milk	Axis.6	0.246443799527671	0.10268902186102	0.698489461249594	
Coconut milk	Axis.7	-0.24718165521488	0.101630846300356	0.698489461249594	
Coconut milk	Axis.8	-0.230948830096291	0.126916778514354	0.698489461249594	
Yogurt whole milk plain	Axis.5	0.214716004977702	0.156656037977628	0.698489461249594	
Yogurt whole milk plain	Axis.10	-0.306210110191568	0.0407812283891234	0.698489461249594	
Yogurt whole milk fruit	Axis.1	-0.240172026186398	0.112027836374834	0.698489461249594	
Yogurt Greek nonfat milk fruit	Axis.4	-0.197336741221346	0.1938258505006	0.698489461249594	
Yogurt Greek nonfat milk fruit	Axis.8	0.197336741221346	0.1938258505006	0.698489461249594	
Yogurt Greek whole milk flavors other than fruit	Axis.9	0.197336741221346	0.1938258505006	0.698489461249594	
Cream heavy	Axis.4	0.220552828423858	0.145426874811898	0.698489461249594	
Cream heavy	Axis.5	0.220552828423858	0.145426874811898	0.698489461249594	
Cheese Brie	Axis.2	-0.255376959227625	0.0904333678362704	0.698489461249594	
Cheese Brie	Axis.3	-0.220552828423858	0.145426874811898	0.698489461249594	
Cheese Brie	Axis.4	0.208944784822602	0.168369896121005	0.698489461249594	
Cheese Brie	Axis.6	0.243768915626369	0.106596111682335	0.698489461249594	
Cheese Brie	Axis.7	0.255376959227625	0.0904333678362704	0.698489461249594	
Cheese Brie	Axis.8	0.220552828423858	0.145426874811898	0.698489461249594	
